Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2,DailyCases,CumulativeCases,Deaths
2020-09-25,S92000003,Scotland,577,27634,505.5616538602269,61.34284668862057,1,2575,47.10940358580315,4068,606026,11087.193560190268,13717,619,4.512648538310126,3.378531929399288,4972,8745,35.0,,1.0,,59,560,577,27634,2575
2020-09-26,S92000003,Scotland,434,28068,513.5016465422613,65.0384193194292,2,2577,47.14599341383095,3009,609035,11142.242956458103,7934,474,5.97428787496849,3.5476884709500194,3477,4457,34.0,,3.0,,50,424,434,28068,2577
2020-09-27,S92000003,Scotland,357,28425,520.032930845225,65.80680570801317,2,2579,47.18258324185876,2845,611880,11194.291986827662,7224,401,5.55094130675526,3.603316326530612,3411,3813,34.0,,2.0,,54,347,357,28425,2579
2020-09-28,S92000003,Scotland,624,29049,531.4489571899012,68.91694109037688,3,2582,47.23746798390048,4571,616451,11277.918038785218,16211,677,4.176176670162236,3.786222876816421,5511,10700,45.0,,3.0,,99,578,624,29049,2582
2020-09-29,S92000003,Scotland,659,29708,543.505305525064,71.95389681668496,1,2583,47.25576289791438,5073,621524,11370.728137577751,23162,704,3.0394611864260423,3.9105522691604064,6924,16238,33.0,,2.0,,82,622,659,29708,2583
2020-09-30,S92000003,Scotland,794,30502,558.0314672521039,76.1068422978412,4,2587,47.32894255397,4756,626280,11457.73874862788,21769,846,3.8862602783775095,4.128385192587041,6095,15674,47.0,,4.0,,94,752,794,30502,2587
2020-10-01,S92000003,Scotland,778,31280,572.2649103549213,77.25942188071717,5,2592,47.42041712403952,4509,630789,11540.230515916575,19123,839,4.387386916278826,4.178119846069269,6195,12928,64.0,,2.0,,130,709,778,31280,2592
2020-10-02,S92000003,Scotland,817,32097,587.2118551042811,81.65020124405416,1,2593,47.43871203805342,4738,635527,11626.911818514453,15671,889,5.67289898538702,4.3476695411093305,5699,9972,54.0,,7.0,,113,776,817,32097,2593
2020-10-03,S92000003,Scotland,695,32792,599.9268203439443,86.42517380168313,3,2596,47.49359678009513,3723,639250,11695.023783388218,9717,771,7.934547699907379,4.542112210636357,3826,5891,46.0,,3.0,,85,686,695,32792,2596
2020-10-04,S92000003,Scotland,741,33533,613.4833516282473,93.45042078302232,3,2599,47.548481522136846,3892,643142,11766.227588730331,9788,788,8.05067429505517,4.776465900330039,3634,6154,46.0,,1.0,,83,705,741,33533,2599
2020-10-05,S92000003,Scotland,1098,34631,633.571167215514,102.12221002561289,2,2601,47.585071350164654,6622,649764,11887.376509330406,21043,1182,5.617069809437818,5.004448213647286,7382,13661,73.0,,3.0,,168,1014,1098,34631,2601
2020-10-06,S92000003,Scotland,1189,35820,655.3238199780461,111.81851445298209,4,2605,47.65825100622028,6108,655872,11999.121844127332,25363,1267,4.995465836060403,5.374201871417607,7425,17938,94.0,,0.0,,229,1038,1189,35820,2605
2020-10-07,S92000003,Scotland,1251,37071,678.2107574094402,120.17929015733624,9,2614,47.82290523234541,6074,661946,12110.245151847786,24646,1332,5.404528118153047,5.638566904133194,6739,17907,88.0,,5.0,,191,1141,1251,37071,2614
2020-10-08,S92000003,Scotland,1170,38241,699.6158068057081,127.35089645078668,11,2625,48.02414928649836,5721,667667,12214.910354921332,21448,1258,5.865348750466244,5.864062157335756,6489,14959,95.0,,3.0,,174,1084,1170,38241,2625
2020-10-09,S92000003,Scotland,1095,39336,719.6487376509331,132.436882546652,6,2631,48.13391877058178,5474,673141,12315.056714233442,16921,1190,7.03268128361208,6.040674495447001,5794,11127,81.0,,5.0,,215,975,1095,39336,2631
2020-10-10,S92000003,Scotland,938,40274,736.8093669959751,136.88254665203073,11,2642,48.33516282473472,3612,676753,12381.137943651664,9886,1043,10.55027311349383,6.243464115573802,3664,6222,75.0,,5.0,,153,890,938,40274,2642
2020-10-11,S92000003,Scotland,957,41231,754.3175997072814,140.834248079034,11,2653,48.53640687888767,3501,680254,12445.188437614344,9366,1053,11.242793081358103,6.4698887878575935,3332,6034,80.0,,4.0,,162,891,957,41231,2653
2020-10-12,S92000003,Scotland,1352,42583,779.0523234540798,145.4811562385657,8,2661,48.6827661909989,6014,686268,12555.214050493962,20839,1508,7.236431690580162,6.733920245351019,6905,13934,107.0,,9.0,,201,1307,1352,42583,2661
2020-10-13,S92000003,Scotland,1420,44003,805.0311013538236,149.7072813757775,12,2673,48.90230515916575,5824,692092,12661.76362971094,24920,1561,6.264044943820226,6.986862043647384,7425,17495,124.0,,9.0,,256,1305,1420,44003,2673
2020-10-14,S92000003,Scotland,1288,45291,828.5949506037322,150.38419319429198,6,2679,49.01207464324918,5639,697731,12764.928649835349,23677,1419,5.993157916965832,7.108620540387385,6290,17387,123.0,,5.0,,227,1192,1288,45291,2679
2020-10-15,S92000003,Scotland,1292,46583,852.2319795096963,152.6161727039883,16,2695,49.304793267471645,5144,702875,12859.037687522869,20280,1439,7.095660749506903,7.318351881419345,6342,13938,107.0,,11.0,,246,1193,1292,46583,2695
2020-10-16,S92000003,Scotland,1250,47833,875.1006220270766,155.45188437614345,20,2715,49.670691547749726,4924,707799,12949.121844127332,16076,1388,8.633988554366757,7.526150794920188,5545,10531,140.0,,8.0,,238,1150,1250,47833,2715
2020-10-17,S92000003,Scotland,854,48687,890.7244785949507,153.91511159897547,10,2725,49.85364068788876,3196,710995,13007.59238931577,8594,970,11.28694437979986,7.545736634559441,3198,5396,88.0,,3.0,,160,810,854,48687,2725
2020-10-18,S92000003,Scotland,832,49519,905.9458470545188,151.62824734723748,22,2747,50.25612879619466,2689,713684,13056.78741309916,7674,925,12.053687776909044,7.545469441258397,3193,4481,88.0,,7.0,,172,753,832,49519,2747
2020-10-19,S92000003,Scotland,1354,50873,930.717160629345,151.66483717526526,16,2763,50.548847420417125,5394,719078,13155.470179290158,19880,1535,7.721327967806841,7.627517526692595,6948,12932,140.0,,12.0,,294,1241,1354,50873,2763
2020-10-20,S92000003,Scotland,1688,52561,961.5989754848152,156.56787413099158,19,2782,50.89645078668131,6086,725164,13266.813025978778,26283,1856,7.061598752045048,7.783511889208257,7976,18307,138.0,,3.0,,319,1537,1688,52561,2782
2020-10-21,S92000003,Scotland,1578,54139,990.468349798756,161.87339919502378,11,2793,51.09769484083424,5627,730791,13369.758507135017,23938,1728,7.218648174450664,8.018741087797922,6335,17603,132.0,,8.0,,305,1423,1578,54139,2793
2020-10-22,S92000003,Scotland,1491,55630,1017.7460665934872,165.5140870837907,17,2810,51.40870837907061,5284,736075,13466.428832784486,20910,1661,7.943567670970827,8.157756069879616,6592,14318,136.0,,9.0,,345,1316,1491,55630,2810
2020-10-23,S92000003,Scotland,1280,56910,1041.1635565312845,166.06293450420782,18,2828,51.7380168313209,4997,741072,13557.848518111963,17200,1420,8.255813953488373,8.109801653290917,6182,11018,131.0,,7.0,,262,1158,1280,56910,2828
2020-10-24,S92000003,Scotland,948,57858,1058.507135016465,167.78265642151482,20,2848,52.10391511159898,3428,744500,13620.563483351629,9886,1102,11.147076674084564,8.131445245724372,3774,6112,119.0,,9.0,,203,899,948,57858,2848
2020-10-25,S92000003,Scotland,937,58795,1075.6494694474936,169.70362239297475,23,2871,52.52469813391877,3272,747772,13680.424442005124,9034,1067,11.810936462253707,8.156153888508703,3557,5477,114.0,,10.0,,237,830,937,58795,2871
2020-10-26,S92000003,Scotland,1344,60139,1100.237833882181,169.5206732528357,31,2902,53.0918404683498,6018,753790,13790.523234540797,22064,1515,6.866388687454678,8.002938560878475,7976,14088,139.0,,9.0,,312,1203,1344,60139,2902
2020-10-27,S92000003,Scotland,1301,61440,1124.03951701427,162.4405415294548,16,2918,53.38455909257227,5321,759111,13887.87047200878,24871,1481,5.95472638816292,7.798096995379311,8185,16686,137.0,,8.0,,393,1088,1301,61440,2918
