Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
2020-02-28,S08000015,NHS Ayrshire and Arran,0,0,0.0,,0,0,0.0,8,27,7.33715590097557,9,0,0.0,,9,0,,:,,:,0,0
2020-02-28,S08000016,NHS Borders,0,0,0.0,,0,0,0.0,3,22,19.09059354390837,3,0,0.0,,3,0,,:,,:,0,0
2020-02-28,S08000017,NHS Dumfries and Galloway,0,0,0.0,,0,0,0.0,8,20,13.487086115044844,9,0,0.0,,9,0,,:,,:,0,0
2020-02-28,S08000019,NHS Forth Valley,0,0,0.0,,0,0,0.0,13,56,18.304840976694017,20,0,0.0,,20,0,,:,,:,0,0
2020-02-28,S08000020,NHS Grampian,0,0,0.0,,0,0,0.0,6,83,14.174707539919734,6,0,0.0,,6,0,,:,,:,0,0
2020-02-28,S08000022,NHS Highland,0,0,0.0,,0,0,0.0,2,30,9.349872218413015,4,0,0.0,,4,0,,:,,:,0,0
2020-02-28,S08000024,NHS Lothian,0,0,0.0,,0,0,0.0,41,168,18.41116067025392,51,0,0.0,,51,0,,:,,:,0,0
2020-02-28,S08000025,NHS Orkney,0,0,0.0,,0,0,0.0,0,2,8.928571428571429,0,0,0.0,,0,0,,:,,:,0,0
2020-02-28,S08000029,NHS Fife,0,0,0.0,,0,0,0.0,12,58,15.50263277470398,14,0,0.0,,14,0,,:,,:,0,0
2020-02-28,S08000030,NHS Tayside,1,1,0.2400672188212699,,0,0,0.0,5,76,18.245108630416517,8,2,25.0,,8,0,,:,,:,2,0
2020-02-28,S08000031,NHS Greater Glasgow and Clyde,0,0,0.0,,0,0,0.0,15,107,9.02770746852958,28,0,0.0,,28,0,,:,,:,0,0
2020-02-28,S08000032,NHS Lanarkshire,0,0,0.0,,0,0,0.0,8,55,8.308659133482385,10,0,0.0,,10,0,,:,,:,0,0
2020-02-28,S92000003,Scotland,1,1,0.0182949140139041,,0,0,0.0,121,704,12.879619465788512,164,2,1.2195121951219512,,164,0,,:,,:,2,0
